month,yield
1995-06,0.024771
1995-07,0.024113
1995-08,0.024163
1995-09,0.023464
1995-10,0.023417
1995-11,0.023038
1995-12,0.022438
1996-01,0.022612
1996-02,0.021549
1996-03,0.021791
1996-04,0.021875
1996-05,0.021495
1996-06,0.021346
1996-07,0.022358
1996-08,0.021926
1996-09,0.021722
1996-10,0.021013
1996-11,0.020145
1996-12,0.020047
1997-01,0.019516
1997-02,0.018796
1997-03,0.019011
1997-04,0.019757
1997-05,0.018157
1997-06,0.0173
1997-07,0.016445
1997-08,0.016472
1997-09,0.01636
1997-10,0.016177
1997-11,0.016448
1997-12,0.016106
1998-01,0.016141
1998-02,0.015238
1998-03,0.014524
1998-04,0.014161
1998-05,0.0143
1998-06,0.01439
1998-07,0.013848
1998-08,0.014966
1998-09,0.015814
1998-10,0.015658
1998-11,0.014141
1998-12,0.013613
1999-01,0.013039
1999-02,0.013129
1999-03,0.012835
1999-04,0.012324
1999-05,0.012349
1999-06,0.012438
1999-07,0.011958
1999-08,0.012487
1999-09,0.012624
1999-10,0.012813
1999-11,0.011987
1999-12,0.011682
2000-01,0.011724
2000-02,0.012051
2000-03,0.011621
2000-04,0.011455
2000-05,0.011787
2000-06,0.011423
2000-07,0.011258
2000-08,0.011085
2000-09,0.011137
2000-10,0.011742
2000-11,0.011826
2000-12,0.012225
2001-01,0.012107
2001-02,0.012307
2001-03,0.013467
2001-04,0.013344
2001-05,0.012424
2001-06,0.012666
2001-07,0.013041
2001-08,0.013342
2001-09,0.015067
2001-10,0.01462
2001-11,0.013933
2001-12,0.013748
2002-01,0.013802
2002-02,0.014294
2002-03,0.013633
2002-04,0.01424
2002-05,0.014766
2002-06,0.015818
2002-07,0.017663
2002-08,0.017402
2002-09,0.018207
2002-10,0.018593
2002-11,0.017562
2002-12,0.017872
2003-01,0.017994
2003-02,0.019318
2003-03,0.019158
2003-04,0.018205
2003-05,0.017294
2003-06,0.016366
2003-07,0.016433
2003-08,0.016624
2003-09,0.016274
2003-10,0.016228
2003-11,0.016309
2003-12,0.016092
2004-01,0.015541
2004-02,0.015577
2004-03,0.016032
2004-04,0.01607
2004-05,0.016691
2004-06,0.01642
2004-07,0.016988
2004-08,0.017424
2004-09,0.017143
2004-10,0.017233
2004-11,0.016551
2004-12,0.016211
2005-01,0.016678
2005-02,0.016644
2005-03,0.01693
2005-04,0.017574
2005-05,0.017565
2005-06,0.017409
2005-07,0.017272
2005-08,0.01739
2005-09,0.017513
2005-10,0.018222
2005-11,0.017755
2005-12,0.017606
2006-01,0.017523
2006-02,0.017697
2006-03,0.017608
2006-04,0.017663
2006-05,0.018
2006-06,0.018705
2006-07,0.018774
2006-08,0.018553
2006-09,0.018289
2006-10,0.017867
2006-11,0.01773
2006-12,0.017565
2007-01,0.017613
2007-02,0.017502
2007-03,0.018117
2007-04,0.01757
2007-05,0.017168
2007-06,0.017283
2007-07,0.017387
2007-08,0.018362
2007-09,0.018021
2007-10,0.017686
2007-11,0.018778
2007-12,0.018746
2008-01,0.02025
2008-02,0.020747
